Time(s),CH1(V)
-5.0000E-08,2.726528E-02
-4.9900E-08,2.766624E-02
-4.9800E-08,2.726528E-02
-4.9700E-08,2.646336E-02
-4.9600E-08,2.646336E-02
-4.9500E-08,2.646336E-02
-4.9400E-08,2.606240E-02
-4.9300E-08,2.526048E-02
-4.9200E-08,2.526048E-02
-4.9100E-08,2.566144E-02
-4.9000E-08,2.526048E-02
-4.8900E-08,2.485952E-02
-4.8800E-08,2.485952E-02
-4.8700E-08,2.405760E-02
-4.8600E-08,2.365664E-02
-4.8500E-08,2.245376E-02
-4.8400E-08,2.165184E-02
-4.8300E-08,2.084992E-02
-4.8200E-08,1.924608E-02
-4.8100E-08,1.804320E-02
-4.8000E-08,1.684032E-02
-4.7900E-08,1.603840E-02
-4.7800E-08,1.483552E-02
-4.7700E-08,1.403360E-02
-4.7600E-08,1.283072E-02
-4.7500E-08,1.162784E-02
-4.7400E-08,1.042496E-02
-4.7300E-08,8.821120E-03
-4.7200E-08,7.217280E-03
-4.7100E-08,6.014400E-03
-4.7000E-08,4.811520E-03
-4.6900E-08,4.009600E-03
-4.6800E-08,2.806720E-03
-4.6700E-08,8.019200E-04
-4.6600E-08,-1.202880E-03
-4.6500E-08,-2.806720E-03
-4.6400E-08,-4.009600E-03
-4.6300E-08,-5.613440E-03
-4.6200E-08,-7.217280E-03
-4.6100E-08,-8.821120E-03
-4.6000E-08,-9.623040E-03
-4.5900E-08,-1.082592E-02
-4.5800E-08,-1.202880E-02
-4.5700E-08,-1.283072E-02
-4.5600E-08,-1.363264E-02
-4.5500E-08,-1.443456E-02
-4.5400E-08,-1.523648E-02
-4.5300E-08,-1.684032E-02
-4.5200E-08,-1.844416E-02
-4.5100E-08,-1.924608E-02
-4.5000E-08,-2.044896E-02
-4.4900E-08,-2.165184E-02
-4.4800E-08,-2.245376E-02
-4.4700E-08,-2.325568E-02
-4.4600E-08,-2.405760E-02
-4.4500E-08,-2.445856E-02
-4.4400E-08,-2.485952E-02
-4.4300E-08,-2.526048E-02
-4.4200E-08,-2.566144E-02
-4.4100E-08,-2.566144E-02
-4.4000E-08,-2.606240E-02
-4.3900E-08,-2.646336E-02
-4.3800E-08,-2.686432E-02
-4.3700E-08,-2.766624E-02
-4.3600E-08,-2.766624E-02
-4.3500E-08,-2.726528E-02
-4.3400E-08,-2.726528E-02
-4.3300E-08,-2.766624E-02
-4.3200E-08,-2.766624E-02
-4.3100E-08,-2.726528E-02
-4.3000E-08,-2.686432E-02
-4.2900E-08,-2.646336E-02
-4.2800E-08,-2.606240E-02
-4.2700E-08,-2.526048E-02
-4.2600E-08,-2.485952E-02
-4.2500E-08,-2.485952E-02
