Time(s),CH1(V),CH2(V),CH3(V),CH4(V)
-2.0250E-04,2.426072E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,2.732624E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,3.039176E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,1.097680E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-8.438163E-03,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-1.456920E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-2.070024E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-4.522441E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-6.974857E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-7.996696E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-9.018537E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-9.733824E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-1.044911E-01,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-1.034693E-01,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-1.024474E-01,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-9.222905E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-8.201064E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-6.770489E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-5.339912E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-5.033360E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-4.726809E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-2.785312E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,-8.438163E-03,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,8.933117E-03,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,2.630440E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0250E-04,4.367568E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0249E-04,6.104696E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0249E-04,8.148376E-02,4.757636E-01,4.804238E-01,4.602837E-01
-2.0249E-04,1.019206E-01,4.757636E-01,4.804238E-01,4.602837E-01
-2.0249E-04,1.152045E-01,4.757636E-01,4.804238E-01,4.602837E-01
-2.0249E-04,1.284884E-01,4.757636E-01,4.804238E-01,4.602837E-01
-2.0249E-04,1.356413E-01,4.757636E-01,4.804238E-01,4.602837E-01
-2.0249E-04,1.427942E-01,4.757636E-01,4.804238E-01,4.602837E-01
-2.0249E-04,1.468815E-01,4.757636E-01,4.804238E-01,4.602837E-01
-2.0249E-04,1.509689E-01,4.757636E-01,4.804238E-01,4.602837E-01
-2.0249E-04,1.407505E-01,4.757636E-01,4.804238E-01,4.602837E-01
-2.0249E-04,1.305321E-01,4.757636E-01,4.804238E-01,4.602837E-01
-2.0249E-04,1.182700E-01,4.757636E-01,4.804238E-01,4.602837E-01
-2.0249E-04,1.060079E-01,4.757636E-01,4.804238E-01,4.602837E-01
