Time,Ampl
-0.0005000004,-0.00930234
-0.0004999804,-0.0109628
-0.0004999604,-0.0109628
-0.0004999404,-0.0109628
-0.0004999204,-0.00764187
-0.0004999004,-0.00930234
-0.0004998804,-0.00764187
-0.0004998604,-0.00930234
-0.0004998404,-0.0059814
-0.0004998204,-0.00930234
-0.0004998004,-0.00930234
-0.0004997804,-0.00930234
-0.0004997604,-0.00930234
-0.0004997404,-0.0126233
-0.0004997204,-0.00930234
-0.0004997004,-0.00764187
-0.0004996804,-0.00764187
-0.0004996604,-0.0109628
-0.0004996404,-0.00764187
-0.0004996204,-0.00764187
-0.0004996004,-0.0059814
-0.0004995804,-0.00930234
-0.0004995604,-0.00930234
-0.0004995404,-0.00764187
-0.0004995204,-0.00930234
-0.0004995004,-0.0109628
-0.0004994804,-0.00930234
-0.0004994604,-0.0109628
-0.0004994404,-0.00930234
-0.0004994204,-0.0142837
-0.0004994004,-0.0109628
-0.0004993804,-0.00930234
-0.0004993604,-0.00930234
-0.0004993404,-0.0126233
-0.0004993204,-0.0109628
-0.0004993004,-0.0109628
-0.0004992804,-0.00930234
-0.0004992604,-0.0126233
-0.0004992404,-0.0109628
-0.0004992204,-0.0109628
-0.0004992004,-0.00930234
-0.0004991804,-0.0126233
-0.0004991604,-0.00930234
-0.0004991404,-0.0109628
-0.0004991204,-0.00930234
-0.0004991004,-0.0109628
-0.0004990804,-0.00930234
-0.0004990604,-0.0109628
-0.0004990404,-0.00764187
-0.0004990204,-0.0109628
-0.0004990004,-0.00764187
-0.0004989804,-0.0109628
-0.0004989604,-0.00764187
-0.0004989404,-0.00764187
-0.0004989204,-0.0109628
-0.0004989004,-0.00930234
-0.0004988804,-0.00930234
-0.0004988604,-0.00930234
-0.0004988404,-0.0109628
-0.0004988204,-0.00764187
-0.0004988004,-0.00930234
-0.0004987804,-0.00930234
-0.0004987604,-0.00764187
-0.0004987404,-0.00930234
-0.0004987204,-0.0059814
-0.0004987004,-0.00930234
-0.0004986804,-0.0059814
-0.0004986604,-0.00764187
-0.0004986404,-0.00266047
-0.0004986204,-0.00266047
-0.0004986004,0.00232094
-0.0004985804,0.00564187
-0.0004985604,0.00896281
-0.0004985404,0.0172651
-0.0004985204,0.0222465
-0.0004985004,0.0272279
-0.0004984804,0.0322094
-0.0004984604,0.0371908
-0.0004984404,0.0421722
-0.0004984204,0.048814
-0.0004984004,0.0554559
-0.0004983804,0.0587768
-0.0004983604,0.0620978
-0.0004983404,0.0620978
-0.0004983204,0.0620978
-0.0004983004,0.0637582
-0.0004982804,0.0654187
-0.0004982604,0.0637582
-0.0004982404,0.0637582
-0.0004982204,0.0620978
-0.0004982004,0.0587768
-0.0004981804,0.0554559
-0.0004981604,0.0537954
-0.0004981404,0.048814
-0.0004981204,0.0438326
-0.0004981004,0.0355303
-0.0004980804,0.0272279
-0.0004980604,0.0205861
-0.0004980404,0.0122837
-0.0004980204,0.00564187
-0.0004980004,-0.00266047
-0.0004979804,-0.00764187
-0.0004979604,-0.0109628
-0.0004979404,-0.0142837
-0.0004979204,-0.0126233
-0.0004979004,-0.0142837
-0.0004978804,-0.0126233
-0.0004978604,-0.0126233
-0.0004978404,-0.0126233
-0.0004978204,-0.0109628
-0.0004978004,-0.00930234
-0.0004977804,-0.0126233
-0.0004977604,-0.00930234
-0.0004977404,-0.00764187
-0.0004977204,-0.00432094
-0.0004977004,-0.0059814
-0.0004976804,-0.00432094
-0.0004976604,-0.001
-0.0004976404,0.000660468
-0.0004976204,0.000660468
-0.0004976004,0.000660468
-0.0004975804,0.000660468
-0.0004975604,-0.001
-0.0004975404,-0.001
-0.0004975204,0.000660468
-0.0004975004,-0.001
-0.0004974804,-0.001
-0.0004974604,-0.00432094
-0.0004974404,-0.00432094
-0.0004974204,-0.00432094
-0.0004974004,-0.0059814
-0.0004973804,-0.00764187
-0.0004973604,-0.00930234
-0.0004973404,-0.00930234
-0.0004973204,-0.00930234
-0.0004973004,-0.0109628
-0.0004972804,-0.00930234
-0.0004972604,-0.0126233
-0.0004972404,-0.0109628
-0.0004972204,-0.0109628
-0.0004972004,-0.00930234
-0.0004971804,-0.0126233
-0.0004971604,-0.0109628
-0.0004971404,-0.00930234
-0.0004971204,-0.00764187
-0.0004971004,-0.0109628
-0.0004970804,-0.00764187
-0.0004970604,-0.00764187
-0.0004970404,-0.00930234
-0.0004970204,-0.0126233
