LECROYWR640Zi,60762,Waveform
Segments,1,SegmentSize,501
Segment,TrigTime,TimeSinceSegment1
#1,25-Jun-2025 15:37:47,0                 
Time,Ampl
-4.98388e-006,-0.0142837
-4.96388e-006,-0.0142837
-4.94388e-006,-0.0126233
-4.92388e-006,-0.0142837
-4.90388e-006,-0.00930234
-4.88388e-006,-0.00930234
-4.86388e-006,-0.0142837
-4.84388e-006,-0.0126233
-4.82388e-006,-0.0142837
-4.80388e-006,-0.0126233
-4.78388e-006,-0.0159442
-4.76388e-006,-0.0159442
-4.74388e-006,-0.0192651
-4.72388e-006,-0.0176047
-4.70388e-006,-0.0192651
-4.68388e-006,-0.0176047
-4.66388e-006,-0.0176047
-4.64388e-006,-0.0142837
-4.62388e-006,-0.0159442
-4.60388e-006,-0.0109628
-4.58388e-006,-0.0109628
-4.56388e-006,-0.0126233
-4.54388e-006,-0.00930234
-4.52388e-006,-0.00764187
-4.50388e-006,-0.00432094
-4.48388e-006,-0.00432094
-4.46388e-006,-0.0059814
-4.44388e-006,-0.00432094
-4.42388e-006,-0.00432094
-4.40388e-006,-0.00432094
-4.38388e-006,-0.00432094
-4.36388e-006,-0.001
-4.34388e-006,-0.00432094
-4.32388e-006,-0.0059814
-4.30388e-006,-0.00266047
-4.28388e-006,-0.001
-4.26388e-006,-0.00432094
-4.24388e-006,0.000660468
-4.22388e-006,-0.00266047
-4.20388e-006,-0.001
-4.18388e-006,0.000660468
-4.16388e-006,-0.001
-4.14388e-006,-0.001
-4.12388e-006,-0.00266047
-4.10388e-006,-0.00266047
-4.08388e-006,-0.00432094
-4.06388e-006,-0.00764187
-4.04388e-006,-0.00930234
-4.02388e-006,-0.0059814
-4.00388e-006,-0.0059814
-3.98388e-006,-0.00930234
-3.96388e-006,-0.0059814
-3.94388e-006,-0.001
-3.92388e-006,0.00232094
-3.90388e-006,0.00232094
-3.88388e-006,0.00232094
-3.86388e-006,0.0039814
-3.84388e-006,0.00730234
-3.82388e-006,0.00730234
-3.80388e-006,0.00564187
-3.78388e-006,0.00730234
-3.76388e-006,0.00564187
-3.74388e-006,0.00730234
-3.72388e-006,0.0039814
-3.70388e-006,0.00564187
-3.68388e-006,0.00564187
-3.66388e-006,0.00232094
-3.64388e-006,0.00232094
-3.62388e-006,0.0039814
-3.60388e-006,0.00564187
-3.58388e-006,0.00232094
-3.56388e-006,0.000660468
-3.54388e-006,0.00564187
-3.52388e-006,0.00564187
-3.50388e-006,0.00564187
-3.48388e-006,0.00896281
-3.46388e-006,0.00896281
-3.44388e-006,0.0106233
-3.42388e-006,0.0139442
-3.40388e-006,0.0205861
-3.38388e-006,0.023907
-3.36388e-006,0.0272279
-3.34388e-006,0.0322094
-3.32388e-006,0.0355303
-3.30388e-006,0.0388512
-3.28388e-006,0.0405117
-3.26388e-006,0.0405117
-3.24388e-006,0.0371908
-3.22388e-006,0.0371908
-3.20388e-006,0.0355303
-3.18388e-006,0.023907
-3.16388e-006,0.0222465
-3.14388e-006,0.0189256
-3.12388e-006,0.0156047
-3.10388e-006,0.0156047
-3.08388e-006,0.0139442
-3.06388e-006,0.0122837
-3.04388e-006,0.00896281
-3.02388e-006,0.0122837
-3.00388e-006,0.0156047
-2.98388e-006,0.0172651
-2.96388e-006,0.0222465
-2.94388e-006,0.0222465
-2.92388e-006,0.0288884
-2.90388e-006,0.0322094
-2.88388e-006,0.0338698
-2.86388e-006,0.0371908
-2.84388e-006,0.0355303
-2.82388e-006,0.0338698
-2.80388e-006,0.0305489
-2.78388e-006,0.0255675
-2.76388e-006,0.0205861
-2.74388e-006,0.0106233
-2.72388e-006,0.00232094
-2.70388e-006,-0.0059814
-2.68388e-006,-0.0126233
-2.66388e-006,-0.0142837
-2.64388e-006,-0.0192651
-2.62388e-006,-0.0225861
-2.60388e-006,-0.0242465
-2.58388e-006,-0.0292279
-2.56388e-006,-0.0275675
-2.54388e-006,-0.0308884
-2.52388e-006,-0.0275675
-2.50388e-006,-0.0275675
-2.48388e-006,-0.0225861
-2.46388e-006,-0.025907
-2.44388e-006,-0.0275675
-2.42388e-006,-0.0242465
-2.40388e-006,-0.0242465
-2.38388e-006,-0.025907
-2.36388e-006,-0.0242465
-2.34388e-006,-0.0242465
-2.32388e-006,-0.0275675
-2.30388e-006,-0.0275675
-2.28388e-006,-0.0275675
-2.26388e-006,-0.0292279
-2.24388e-006,-0.0275675
-2.22388e-006,-0.0275675
-2.20388e-006,-0.0292279
-2.18388e-006,-0.0275675
-2.16388e-006,-0.025907
-2.14388e-006,-0.0242465
-2.12388e-006,-0.025907
-2.10388e-006,-0.0242465
-2.08388e-006,-0.0225861
-2.06388e-006,-0.0242465
-2.04388e-006,-0.0225861
-2.02388e-006,-0.0225861
-2.00388e-006,-0.0209256
-1.98388e-006,-0.0225861
-1.96388e-006,-0.0225861
-1.94388e-006,-0.0209256
-1.92388e-006,-0.0209256
-1.90388e-006,-0.0225861
-1.88388e-006,-0.0192651
-1.86388e-006,-0.0192651
-1.84388e-006,-0.0176047
-1.82388e-006,-0.0176047
-1.80388e-006,-0.0159442
-1.78388e-006,-0.0142837
-1.76388e-006,-0.0126233
-1.74388e-006,-0.0126233
-1.72388e-006,-0.0109628
-1.70388e-006,-0.0109628
-1.68388e-006,-0.0109628
