LECROYWR640Zi,60762,Waveform
Segments,1,SegmentSize,100002
Segment,TrigTime,TimeSinceSegment1
#1,19-Jun-2025 15:10:30,0                 
Time,Ampl
-5.92004821e-006,0.000275065
-5.91999821e-006,0.000182699
-5.91994821e-006,7.97526e-005
-5.91989821e-006,-1.95312e-005
-5.91984821e-006,-9.4401e-005
-5.91979821e-006,-0.000134277
-5.91974821e-006,-0.000146077
-5.91969821e-006,-0.000142415
-5.91964821e-006,-0.000137126
-5.91959821e-006,-0.000142008
-5.91954821e-006,-0.000160319
-5.91949821e-006,-0.000196533
-5.91944821e-006,-0.00024821
-5.91939821e-006,-0.000298258
-5.91934821e-006,-0.000329183
-5.91929821e-006,-0.00035848
-5.91924821e-006,-0.000413818
-5.91919821e-006,-0.000481771
-5.91914821e-006,-0.000534668
-5.91909821e-006,-0.000561117
-5.91904821e-006,-0.000552165
-5.91899821e-006,-0.000508219
-5.91894821e-006,-0.000465495
-5.91889821e-006,-0.000458984
-5.91884821e-006,-0.000476481
-5.91879821e-006,-0.000471191
-5.91874821e-006,-0.000422363
-5.91869821e-006,-0.000347087
-5.91864821e-006,-0.000258789
-5.91859821e-006,-0.000161947
-5.91854821e-006,-6.91732e-005
-5.91849821e-006,0
-5.91844821e-006,3.58073e-005
-5.91839821e-006,4.9235e-005
-5.91834821e-006,6.34766e-005
-5.91829821e-006,9.48079e-005
-5.91824821e-006,0.000138753
-5.91819821e-006,0.000176595
-5.91814821e-006,0.000204264
-5.91809821e-006,0.000227051
-5.91804821e-006,0.000238444
-5.91799821e-006,0.000238037
-5.91794821e-006,0.000222982
-5.91789821e-006,0.000180257
-5.91784821e-006,0.000113932
-5.91779821e-006,4.35384e-005
-5.91774821e-006,-1.13932e-005
-5.91769821e-006,-4.39453e-005
-5.91764821e-006,-6.42904e-005
-5.91759821e-006,-8.87044e-005
-5.91754821e-006,-0.000134277
-5.91749821e-006,-0.000201009
-5.91744821e-006,-0.00026652
-5.91739821e-006,-0.000305583
-5.91734821e-006,-0.00030599
-5.91729821e-006,-0.00027832
-5.91724821e-006,-0.000246582
-5.91719821e-006,-0.000238037
-5.91714821e-006,-0.000270182
-5.91709821e-006,-0.000330811
-5.91704821e-006,-0.000384928
-5.91699821e-006,-0.000402832
-5.91694821e-006,-0.000375977
-5.91689821e-006,-0.000332438
-5.91684821e-006,-0.000315755
-5.91679821e-006,-0.000339762
-5.91674821e-006,-0.000384115
-5.91669821e-006,-0.000439046
-5.91664821e-006,-0.000498861
-5.91659821e-006,-0.000549316
-5.91654821e-006,-0.00059082
-5.91649821e-006,-0.000633545
-5.91644821e-006,-0.000688477
-5.91639821e-006,-0.000744222
-5.91634821e-006,-0.000772298
-5.91629821e-006,-0.000767822
-5.91624821e-006,-0.000762126
-5.91619821e-006,-0.000766602
-5.91614821e-006,-0.000761719
-5.91609821e-006,-0.000753581
-5.91604821e-006,-0.000754801
-5.91599821e-006,-0.000750732
-5.91594821e-006,-0.000745443
-5.91589821e-006,-0.000753581
-5.91584821e-006,-0.000762533
-5.91579821e-006,-0.000756836
-5.91574821e-006,-0.000739746
-5.91569821e-006,-0.000720215
-5.91564821e-006,-0.000694173
-5.91559821e-006,-0.000632731
-5.91554821e-006,-0.000519206
-5.91549821e-006,-0.000373128
-5.91544821e-006,-0.00021932
-5.91539821e-006,-7.12077e-005
-5.91534821e-006,6.06283e-005
-5.91529821e-006,0.000165609
-5.91524821e-006,0.000243327
-5.91519821e-006,0.000303955
-5.91514821e-006,0.000354818
-5.91509821e-006,0.000397542
-5.91504821e-006,0.000419922
-5.91499821e-006,0.000415446
-5.91494821e-006,0.000398356
-5.91489821e-006,0.000388184
-5.91484821e-006,0.000388184
-5.91479821e-006,0.000384521
-5.91474821e-006,0.000351969
-5.91469821e-006,0.000274251
-5.91464821e-006,0.000160726
-5.91459821e-006,5.00488e-005
-5.91454821e-006,-1.54622e-005
-5.91449821e-006,-3.33659e-005
-5.91444821e-006,-2.889e-005
-5.91439821e-006,-2.889e-005
-5.91434821e-006,-4.1097e-005
-5.91429821e-006,-5.3304e-005
-5.91424821e-006,-5.90007e-005
-5.91419821e-006,-6.51042e-005
-5.91414821e-006,-8.82975e-005
-5.91409821e-006,-0.00013916
-5.91404821e-006,-0.000203451
-5.91399821e-006,-0.000258382
-5.91394821e-006,-0.000284424
-5.91389821e-006,-0.000268555
-5.91384821e-006,-0.000216471
-5.91379821e-006,-0.000156657
-5.91374821e-006,-0.000104574
-5.91369821e-006,-5.7373e-005
-5.91364821e-006,-1.13932e-005
-5.91359821e-006,3.90625e-005
-5.91354821e-006,9.19596e-005
-5.91349821e-006,0.000141602
-5.91344821e-006,0.000194906
-5.91339821e-006,0.000253906
-5.91334821e-006,0.000301107
-5.91329821e-006,0.000315348
-5.91324821e-006,0.000315755
-5.91319821e-006,0.000332845
-5.91314821e-006,0.000359701
-5.91309821e-006,0.000373535
-5.91304821e-006,0.000364583
-5.91299821e-006,0.000336914
-5.91294821e-006,0.000295817
-5.91289821e-006,0.000246582
-5.91284821e-006,0.000188802
-5.91279821e-006,0.000133057
-5.91274821e-006,0.000106201
-5.91269821e-006,0.000126546
-5.91264821e-006,0.000184326
-5.91259821e-006,0.000244954
-5.91254821e-006,0.000281982
-5.91249821e-006,0.000295003
-5.91244821e-006,0.000275879
-5.91239821e-006,0.000211995
-5.91234821e-006,0.00013387
-5.91229821e-006,7.20215e-005
-5.91224821e-006,3.49935e-005
-5.91219821e-006,4.02832e-005
-5.91214821e-006,8.30078e-005
-5.91209821e-006,0.000136312
-5.91204821e-006,0.000189209
-5.91199821e-006,0.000240479
-5.91194821e-006,0.000290934
-5.91189821e-006,0.0003361
-5.91184821e-006,0.00037557
-5.91179821e-006,0.000405273
-5.91174821e-006,0.000411377
