Time(s),CH1(V)
-2.5000E-06,-3.262484E-01
-2.4998E-06,-2.990794E-01
-2.4996E-06,-2.165660E-01
-2.4994E-06,-7.770214E-02
-2.4992E-06,9.436832E-02
-2.4990E-06,2.553699E-01
-2.4988E-06,3.585116E-01
-2.4986E-06,3.746117E-01
-2.4984E-06,3.076954E-01
-2.4982E-06,1.939881E-01
-2.4980E-06,8.581512E-02
-2.4978E-06,2.594264E-02
-2.4976E-06,3.248333E-02
-2.4974E-06,9.134954E-02
-2.4972E-06,1.713472E-01
-2.4970E-06,2.412823E-01
-2.4968E-06,2.855577E-01
-2.4966E-06,3.076954E-01
-2.4964E-06,3.222862E-01
-2.4962E-06,3.378833E-01
-2.4960E-06,3.504615E-01
-2.4958E-06,3.409020E-01
-2.4956E-06,2.875703E-01
-2.4954E-06,1.819129E-01
-2.4952E-06,3.399272E-02
-2.4950E-06,-1.265058E-01
-2.4948E-06,-2.638603E-01
-2.4946E-06,-3.498955E-01
-2.4944E-06,-3.780708E-01
-2.4942E-06,-3.599581E-01
-2.4940E-06,-3.197077E-01
-2.4938E-06,-2.779479E-01
-2.4936E-06,-2.442382E-01
-2.4934E-06,-2.150566E-01
-2.4932E-06,-1.778250E-01
-2.4930E-06,-1.234870E-01
-2.4928E-06,-4.852060E-02
-2.4926E-06,3.801776E-02
-2.4924E-06,1.235499E-01
-2.4922E-06,1.924787E-01
-2.4920E-06,2.332322E-01
-2.4918E-06,2.412823E-01
-2.4916E-06,2.161258E-01
-2.4914E-06,1.643034E-01
-2.4912E-06,9.638084E-02
-2.4910E-06,2.594264E-02
-2.4908E-06,-3.392983E-02
-2.4906E-06,-7.367710E-02
-2.4904E-06,-9.229291E-02
-2.4902E-06,-9.480856E-02
-2.4900E-06,-9.028039E-02
-2.4898E-06,-8.927413E-02
-2.4896E-06,-9.732421E-02
-2.4894E-06,-1.169463E-01
-2.4892E-06,-1.451216E-01
-2.4890E-06,-1.783281E-01
-2.4888E-06,-2.125410E-01
-2.4886E-06,-2.447413E-01
-2.4884E-06,-2.714072E-01
-2.4882E-06,-2.905262E-01
-2.4880E-06,-3.010919E-01
-2.4878E-06,-3.046138E-01
-2.4876E-06,-3.020981E-01
-2.4874E-06,-2.910293E-01
-2.4872E-06,-2.603383E-01
