Time(s),CH1(V)
-5.5000E-05,-1.812030E-01
-5.5000E-05,-1.770989E-01
-5.5000E-05,-1.812030E-01
-5.5000E-05,-1.935151E-01
-5.5000E-05,-1.976192E-01
-5.4999E-05,-1.935151E-01
-5.4999E-05,-1.976192E-01
-5.4999E-05,-2.017232E-01
-5.4999E-05,-2.017232E-01
-5.4999E-05,-2.017232E-01
-5.4999E-05,-1.976192E-01
-5.4999E-05,-1.976192E-01
-5.4999E-05,-1.976192E-01
-5.4999E-05,-1.976192E-01
-5.4999E-05,-2.017232E-01
-5.4998E-05,-1.976192E-01
-5.4998E-05,-1.935151E-01
-5.4998E-05,-1.853070E-01
-5.4998E-05,-1.770989E-01
-5.4998E-05,-1.729949E-01
-5.4998E-05,-1.647868E-01
-5.4998E-05,-1.483707E-01
-5.4998E-05,-1.401626E-01
-5.4998E-05,-1.278505E-01
-5.4998E-05,-1.073303E-01
-5.4997E-05,-8.681007E-02
-5.4997E-05,-6.628986E-02
-5.4997E-05,-4.987371E-02
-5.4997E-05,-3.345755E-02
-5.4997E-05,-8.833305E-03
-5.4997E-05,1.579094E-02
-5.4997E-05,4.041518E-02
-5.4997E-05,5.683134E-02
-5.4997E-05,7.735154E-02
-5.4997E-05,9.376770E-02
-5.4996E-05,1.101839E-01
-5.4996E-05,1.307041E-01
-5.4996E-05,1.430162E-01
-5.4996E-05,1.512243E-01
-5.4996E-05,1.635364E-01
-5.4996E-05,1.799525E-01
-5.4996E-05,1.963687E-01
-5.4996E-05,2.045768E-01
-5.4996E-05,2.045768E-01
-5.4996E-05,2.086808E-01
-5.4995E-05,2.127849E-01
-5.4995E-05,2.250970E-01
-5.4995E-05,2.333051E-01
-5.4995E-05,2.374091E-01
-5.4995E-05,2.374091E-01
-5.4995E-05,2.333051E-01
-5.4995E-05,2.292010E-01
-5.4995E-05,2.374091E-01
-5.4995E-05,2.415131E-01
-5.4995E-05,2.415131E-01
-5.4994E-05,2.374091E-01
-5.4994E-05,2.374091E-01
-5.4994E-05,2.415131E-01
-5.4994E-05,2.456172E-01
-5.4994E-05,2.415131E-01
-5.4994E-05,2.333051E-01
-5.4994E-05,2.250970E-01
-5.4994E-05,2.168889E-01
-5.4994E-05,2.127849E-01
-5.4994E-05,2.086808E-01
-5.4993E-05,2.127849E-01
-5.4993E-05,2.127849E-01
-5.4993E-05,2.127849E-01
-5.4993E-05,2.168889E-01
-5.4993E-05,2.168889E-01
-5.4993E-05,2.086808E-01
-5.4993E-05,1.963687E-01
-5.4993E-05,1.881606E-01
-5.4993E-05,1.799525E-01
-5.4993E-05,1.717445E-01
-5.4992E-05,1.676404E-01
-5.4992E-05,1.594323E-01
-5.4992E-05,1.553283E-01
-5.4992E-05,1.430162E-01
-5.4992E-05,1.307041E-01
-5.4992E-05,1.224960E-01
-5.4992E-05,1.060798E-01
-5.4992E-05,8.555961E-02
-5.4992E-05,7.324750E-02
-5.4992E-05,6.503942E-02
-5.4991E-05,4.451922E-02
-5.4991E-05,1.989498E-02
-5.4991E-05,-6.252248E-04
-5.4991E-05,-1.293735E-02
-5.4991E-05,-2.114543E-02
-5.4991E-05,-4.166562E-02
-5.4991E-05,-6.218583E-02
-5.4991E-05,-7.860199E-02
-5.4991E-05,-9.091411E-02
-5.4991E-05,-1.073303E-01
-5.4990E-05,-1.196424E-01
-5.4990E-05,-1.278505E-01
-5.4990E-05,-1.360586E-01
-5.4990E-05,-1.483707E-01
-5.4990E-05,-1.483707E-01
-5.4990E-05,-1.524747E-01
-5.4990E-05,-1.565787E-01
-5.4990E-05,-1.647868E-01
-5.4990E-05,-1.770989E-01
-5.4990E-05,-1.770989E-01
-5.4989E-05,-1.688909E-01
-5.4989E-05,-1.688909E-01
-5.4989E-05,-1.729949E-01
-5.4989E-05,-1.688909E-01
-5.4989E-05,-1.647868E-01
-5.4989E-05,-1.647868E-01
-5.4989E-05,-1.647868E-01
-5.4989E-05,-1.606828E-01
-5.4989E-05,-1.565787E-01
-5.4989E-05,-1.524747E-01
-5.4988E-05,-1.524747E-01
-5.4988E-05,-1.565787E-01
-5.4988E-05,-1.565787E-01
-5.4988E-05,-1.606828E-01
-5.4988E-05,-1.647868E-01
-5.4988E-05,-1.647868E-01
-5.4988E-05,-1.647868E-01
-5.4988E-05,-1.688909E-01
-5.4988E-05,-1.770989E-01
-5.4988E-05,-1.812030E-01
-5.4987E-05,-1.812030E-01
-5.4987E-05,-1.894111E-01
-5.4987E-05,-1.935151E-01
-5.4987E-05,-1.894111E-01
-5.4987E-05,-1.853070E-01
-5.4987E-05,-1.853070E-01
-5.4987E-05,-1.894111E-01
-5.4987E-05,-1.976192E-01
-5.4987E-05,-2.017232E-01
-5.4987E-05,-1.976192E-01
-5.4986E-05,-1.976192E-01
-5.4986E-05,-2.017232E-01
-5.4986E-05,-1.976192E-01
-5.4986E-05,-1.976192E-01
-5.4986E-05,-2.017232E-01
-5.4986E-05,-1.976192E-01
-5.4986E-05,-1.976192E-01
-5.4986E-05,-1.894111E-01
-5.4986E-05,-1.812030E-01
-5.4986E-05,-1.729949E-01
-5.4985E-05,-1.647868E-01
-5.4985E-05,-1.483707E-01
-5.4985E-05,-1.278505E-01
-5.4985E-05,-1.114343E-01
-5.4985E-05,-1.032262E-01
-5.4985E-05,-9.501815E-02
-5.4985E-05,-8.270603E-02
-5.4985E-05,-5.808179E-02
-5.4985E-05,-3.345755E-02
-5.4985E-05,-1.704139E-02
-5.4984E-05,-6.252248E-04
-5.4984E-05,1.989498E-02
-5.4984E-05,4.041518E-02
-5.4984E-05,6.093538E-02
-5.4984E-05,8.145557E-02
-5.4984E-05,9.787174E-02
-5.4984E-05,1.142879E-01
-5.4984E-05,1.307041E-01
-5.4984E-05,1.389121E-01
-5.4984E-05,1.553283E-01
-5.4983E-05,1.717445E-01
-5.4983E-05,1.840566E-01
-5.4983E-05,1.922647E-01
-5.4983E-05,2.045768E-01
-5.4983E-05,2.168889E-01
-5.4983E-05,2.209929E-01
-5.4983E-05,2.168889E-01
-5.4983E-05,2.250970E-01
-5.4983E-05,2.333051E-01
-5.4983E-05,2.333051E-01
-5.4982E-05,2.333051E-01
-5.4982E-05,2.374091E-01
-5.4982E-05,2.374091E-01
-5.4982E-05,2.333051E-01
-5.4982E-05,2.292010E-01
-5.4982E-05,2.250970E-01
-5.4982E-05,2.292010E-01
-5.4982E-05,2.333051E-01
-5.4982E-05,2.333051E-01
-5.4982E-05,2.333051E-01
-5.4981E-05,2.333051E-01
-5.4981E-05,2.333051E-01
-5.4981E-05,2.333051E-01
-5.4981E-05,2.292010E-01
-5.4981E-05,2.250970E-01
-5.4981E-05,2.250970E-01
-5.4981E-05,2.209929E-01
-5.4981E-05,2.127849E-01
-5.4981E-05,2.086808E-01
-5.4981E-05,2.086808E-01
-5.4980E-05,2.086808E-01
-5.4980E-05,2.045768E-01
-5.4980E-05,2.004727E-01
-5.4980E-05,1.922647E-01
-5.4980E-05,1.840566E-01
-5.4980E-05,1.758485E-01
-5.4980E-05,1.676404E-01
-5.4980E-05,1.594323E-01
-5.4980E-05,1.430162E-01
-5.4980E-05,1.307041E-01
-5.4979E-05,1.183919E-01
-5.4979E-05,1.060798E-01
-5.4979E-05,9.376770E-02
-5.4979E-05,7.735154E-02
-5.4979E-05,6.093538E-02
-5.4979E-05,4.451922E-02
-5.4979E-05,2.810306E-02
-5.4979E-05,7.582855E-03
-5.4979E-05,-8.833305E-03
-5.4979E-05,-2.524947E-02
-5.4978E-05,-4.576967E-02
-5.4978E-05,-5.808179E-02
-5.4978E-05,-6.628986E-02
-5.4978E-05,-8.681007E-02
-5.4978E-05,-1.032262E-01
-5.4978E-05,-1.196424E-01
-5.4978E-05,-1.360586E-01
-5.4978E-05,-1.442666E-01
-5.4978E-05,-1.524747E-01
-5.4978E-05,-1.565787E-01
-5.4977E-05,-1.565787E-01
-5.4977E-05,-1.606828E-01
-5.4977E-05,-1.688909E-01
-5.4977E-05,-1.688909E-01
-5.4977E-05,-1.647868E-01
-5.4977E-05,-1.606828E-01
-5.4977E-05,-1.565787E-01
-5.4977E-05,-1.483707E-01
-5.4977E-05,-1.524747E-01
-5.4977E-05,-1.606828E-01
-5.4976E-05,-1.647868E-01
-5.4976E-05,-1.688909E-01
-5.4976E-05,-1.647868E-01
-5.4976E-05,-1.565787E-01
-5.4976E-05,-1.524747E-01
-5.4976E-05,-1.483707E-01
-5.4976E-05,-1.442666E-01
-5.4976E-05,-1.483707E-01
-5.4976E-05,-1.524747E-01
-5.4976E-05,-1.524747E-01
-5.4975E-05,-1.606828E-01
-5.4975E-05,-1.606828E-01
-5.4975E-05,-1.647868E-01
-5.4975E-05,-1.729949E-01
-5.4975E-05,-1.688909E-01
-5.4975E-05,-1.688909E-01
-5.4975E-05,-1.688909E-01
-5.4975E-05,-1.729949E-01
-5.4975E-05,-1.812030E-01
-5.4975E-05,-1.812030E-01
-5.4974E-05,-1.812030E-01
-5.4974E-05,-1.894111E-01
-5.4974E-05,-2.017232E-01
-5.4974E-05,-2.017232E-01
-5.4974E-05,-2.017232E-01
-5.4974E-05,-2.017232E-01
-5.4974E-05,-1.976192E-01
-5.4974E-05,-2.017232E-01
-5.4974E-05,-2.017232E-01
-5.4974E-05,-1.976192E-01
-5.4973E-05,-1.976192E-01
-5.4973E-05,-1.976192E-01
-5.4973E-05,-1.976192E-01
-5.4973E-05,-1.853070E-01
-5.4973E-05,-1.729949E-01
-5.4973E-05,-1.606828E-01
-5.4973E-05,-1.483707E-01
-5.4973E-05,-1.360586E-01
-5.4973E-05,-1.237464E-01
-5.4973E-05,-1.155384E-01
-5.4972E-05,-1.032262E-01
-5.4972E-05,-8.681007E-02
-5.4972E-05,-7.449795E-02
-5.4972E-05,-5.397775E-02
-5.4972E-05,-2.935351E-02
-5.4972E-05,-8.833305E-03
-5.4972E-05,1.168690E-02
-5.4972E-05,3.220709E-02
-5.4972E-05,5.683134E-02
-5.4972E-05,7.735154E-02
